Employee Code,First Name,Middle Name,Last Name,Date of Birth,Gender,Email Address,Phone Number,Emergency Contact,Address,Highest Degree,Field of Study,Relation With Employee,Relation Contact,Date of Join,Job Title,Department,Employment Type,Monthly Salary,Annual CTC,Pay Grade,Bonus,Benefits,Total Benefit Cost,Budget Allocation,Final Payout,Employee Satisfaction,Engagement Score,Performance
E10001,Divyansh,Shalv,Dass,1998-01-05,Female,divyansh.dass@gmail.com,9750426933,9653836259,"H.No. 937
Sule Chowk, Bhiwandi, Tripura, 022849, India",Master's,Engineering,Father,9691966591,2024-07-20,System Architect,Engineering,Intern,21400.11,256801.32,D,21400.11,Education Assistance,7000,264000,285201.43,4.8,1.91,3.27
E10002,Vedika,Ehsaan,Chand,1971-02-25,Female,vedika.chand@gmail.com,9817030895,9377228816,"75/052, Tandon, Bettiah, Bihar, 963797, India",Master's,Sales,Father,9875905354,2022-11-02,Account Manager,Sales,Part-time,42374.8,508497.60000000003,D,42374.8,Paid Time Off,5000,600000,555872.4,2.15,1.34,2.48
E10003,Sara,Seher,Dugal,1978-01-04,Female,sara.dugal@gmail.com,9006257524,9768586582,"68, Bhatnagar, Jorhat, Telangana, 372743, India",Bachelor's,Computer Science,Uncle,9320707141,2023-09-13,System Architect,Engineering,Contract,80361.45,964337.3999999999,B,80361.45,Remote Work,2000,1080000,1046698.8499999999,1.46,2.45,4.64
E10004,Jayant,Urvi,Dugar,1984-07-27,Female,jayant.dugar@gmail.com,9887653249,9391076959,"40/75, Kulkarni Circle, Pune, Meghalaya, 623779, India",Master's,Sales,Aunty,9269964246,2023-06-04,Account Manager,Sales,Contract,67992.95,815915.3999999999,C,67992.95,"Health Insurance, Travel Allowance",18000,900000,901908.3499999999,2.75,4.57,4.41
E10005,Himmat,Jivika,Venkataraman,1972-07-17,Female,himmat.venkataraman@gmail.com,9856758297,9832848083,"92/680, Hora Street, Nagaon, Jharkhand, 557778, India",PhD,Business Administration,Mother,9346109138,2018-09-15,HR Coordinator,HR,Part-time,37965.0,455580.0,D,37965.0,"Paid Time Off, Remote Work",7000,480000,500545.0,1.93,4.23,2.85
E10006,Rasha,Kavya,Halder,1991-12-20,Female,rasha.halder@gmail.com,9573858792,9613085760,"H.No. 594, Gour Road, Kakinada, Mizoram, 687328, India",Master's,Marketing,Mother,9361653188,2018-10-05,Brand Manager,Marketing,Part-time,41289.23,495470.76,D,41289.23,Travel Allowance,6000,600000,542759.99,4.56,1.56,2.51
E10007,Ranbir,Aarav,Chhabra,1975-11-08,Male,ranbir.chhabra@gmail.com,9288455929,9396356464,"32/860, Ravel Zila, Firozabad, Odisha, 201525, India",Bachelor's,Sales,Father,9512093223,2015-05-06,Account Manager,Sales,Part-time,47427.92,569135.04,D,47427.92,"Remote Work, Travel Allowance",8000,600000,624562.9600000001,1.73,1.55,2.44
E10008,Mohanlal,Gokul,Wali,2000-11-27,Female,mohanlal.wali@gmail.com,9939094711,9716375219,"16
Divan Street, Mau, Maharashtra, 363558, India",PhD,Engineering,Sister,9559121261,2015-04-05,Software Engineer,Engineering,Part-time,44157.51,529890.12,D,44157.51,Travel Allowance,6000,600000,580047.63,3.92,2.54,2.25
E10009,Elakshi,Charvi,Arya,1996-06-13,Female,elakshi.arya@gmail.com,9797618691,9289042725,"H.No. 52, Bali Road, Kolhapur, Assam, 595131, India",PhD,Sales,Uncle,9558890912,2015-02-21,Sales Executive,Sales,Full-time,52588.14,631057.6799999999,C,52588.14,"Retirement Plan, Remote Work, Gym Membership, Paid Time Off, Travel Allowance, Education Assistance, Health Insurance",50000,720000,733645.82,1.34,3.79,3.79
E10010,Faiyaz,Amira,Singh,1994-02-27,Female,faiyaz.singh@gmail.com,9259892849,9208931678,"039, Wason Street, Rajkot, Tripura, 427989, India",PhD,Finance,Brother,9216004432,2024-03-27,Finance Manager,Finance,Intern,20605.03,247260.36,D,20605.03,Travel Allowance,6000,264000,273865.39,2.86,3.67,2.52
E10011,Urvi,Fateh,Kala,1977-08-10,Female,urvi.kala@gmail.com,9256673698,9091451012,"75, Yohannan Zila, Amravati, Punjab, 474665, India",PhD,Computer Science,Mother,9776685884,2023-12-15,DevOps Engineer,Engineering,Contract,63088.4,757060.8,C,63088.4,Health Insurance,12000,900000,832149.2000000001,4.75,2.41,4.58
E10012,Advika,Stuvan,Kothari,1969-06-16,Female,advika.kothari@gmail.com,9936189742,9483862372,"14/258
Dugal Path, Madanapalle, Odisha, 831378, India",PhD,Business Administration,Father,9535844586,2021-05-23,HR Specialist,HR,Part-time,27502.89,330034.68,D,27502.89,"Travel Allowance, Remote Work, Paid Time Off",13000,360000,370537.57,4.89,3.02,4.57
E10013,Jayesh,Aniruddh,Biswas,1987-05-26,Female,jayesh.biswas@gmail.com,9940418666,9836616093,"H.No. 223, Sangha Road, Sirsa, Meghalaya, 346192, India",Master's,Engineering,Mother,9209227662,2015-03-19,System Architect,Engineering,Full-time,137152.84,1645834.08,A,137152.84,"Free Meals, Stock Options, Education Assistance, Travel Allowance, Gym Membership",28000,1800000,1810986.9200000002,2.68,3.0,4.68
E10014,Ishaan,Seher,Bhalla,1976-04-28,Female,ishaan.bhalla@gmail.com,9616970721,9607274946,"61/46
Kunda Zila, Bharatpur, Bihar, 534851, India",PhD,Business Administration,Sister,9639600636,2014-10-19,HR Specialist,HR,Full-time,52147.21,625766.52,C,52147.21,"Health Insurance, Paid Time Off, Gym Membership, Free Meals, Retirement Plan, Stock Options, Remote Work, Travel Allowance, Education Assistance",62000,720000,739913.73,2.84,2.14,2.78
E10015,Heer,Shayak,Dutta,1991-09-04,Female,heer.dutta@gmail.com,9237538914,9763828580,"H.No. 81
Aggarwal, Nashik, Uttar Pradesh, 312104, India",Master's,Computer Science,Mother,9167457940,2016-02-18,DevOps Engineer,Engineering,Part-time,42334.11,508009.32,D,42334.11,Remote Work,2000,600000,552343.43,3.84,4.49,4.12
E10016,Diya,Nirvi,Kari,1997-04-04,Female,diya.kari@gmail.com,9345933949,9797624421,"H.No. 100, Mand Chowk, Korba, Bihar, 837680, India",PhD,Business Administration,Brother,9181012930,2024-03-03,HR Coordinator,HR,Intern,16127.82,193533.84,D,16127.82,Education Assistance,7000,216000,216661.66,1.24,1.28,4.82
E10017,Faiyaz,Shamik,Barman,1987-11-29,Female,faiyaz.barman@gmail.com,9552192406,9673234523,"19, Buch Path, Uluberia, Meghalaya, 387041, India",Master's,Sales,Brother,9197449675,2023-12-01,Sales Coordinator,Sales,Contract,40775.43,489305.16000000003,D,40775.43,Travel Allowance,6000,720000,536080.5900000001,1.55,2.15,3.62
E10018,Sahil,Miraya,Mane,1981-04-23,Female,sahil.mane@gmail.com,9482497599,9222372893,"950, Sethi Nagar, Gangtok, Tamil Nadu, 907531, India",Bachelor's,Engineering,Uncle,9531937400,2014-11-20,DevOps Engineer,Engineering,Full-time,82156.46,985877.52,B,82156.46,"Stock Options, Retirement Plan, Paid Time Off, Travel Allowance, Remote Work, Education Assistance, Free Meals, Gym Membership",50000,1200000,1118033.98,1.46,1.89,2.87
E10019,Alisha,Shanaya,Konda,1999-09-05,Female,alisha.konda@gmail.com,9461638441,9878799315,"81/61, Krishnamurthy Street, Anand, Meghalaya, 219591, India",Bachelor's,Business Administration,Uncle,9179610109,2024-06-06,HR Specialist,HR,Intern,11387.86,136654.32,D,11387.86,Education Assistance,7000,180000,155042.18,2.08,4.04,2.57
E10020,Advik,Sahil,Devan,1989-12-22,Female,advik.devan@gmail.com,9394004363,9993245053,"H.No. 440
Tella Circle, Nagpur, Jharkhand, 924225, India",PhD,Marketing,Father,9669414874,2023-06-05,SEO Specialist,Marketing,Contract,47662.07,571944.84,D,47662.07,"Remote Work, Travel Allowance",8000,720000,627606.9099999999,3.53,2.66,4.46
E10021,Tushar,Miraan,Rana,1976-03-26,Female,tushar.rana@gmail.com,9197740217,9968968103,"96/21
Sule Path, Bhubaneswar, Odisha, 219702, India",Master's,Engineering,Mother,9617745372,2024-07-17,Software Engineer,Engineering,Intern,18507.58,222090.96000000002,D,18507.58,"Education Assistance, Travel Allowance",13000,240000,253598.54000000004,1.78,3.54,4.09
E10022,Ela,Urvi,Apte,1977-06-06,Female,ela.apte@gmail.com,9862755622,9751428970,"72/045, Shanker Path, Sirsa, Rajasthan, 777211, India",PhD,Engineering,Uncle,9242713749,2023-07-15,System Architect,Engineering,Full-time,140257.16,1683085.92,A,140257.16,"Remote Work, Health Insurance, Travel Allowance, Free Meals, Stock Options",32000,1800000,1855343.0799999998,1.52,1.26,4.51
E10023,Aradhya,Anahita,Arya,1971-12-03,Female,aradhya.arya@gmail.com,9260266821,9435779334,"H.No. 377
Choudhry Road, Dhanbad, Bihar, 682935, India",Bachelor's,Sales,Sister,9113068227,2024-03-24,Sales Coordinator,Sales,Contract,51366.59,616399.08,C,51366.59,Health Insurance,12000,720000,679765.6699999999,1.2,3.96,3.94
E10024,Zeeshan,Raghav,Banik,1971-04-18,Male,zeeshan.banik@gmail.com,9061868259,9323472143,"339
Bains, Madhyamgram, Mizoram, 769641, India",Master's,Finance,Father,9068761823,2023-10-06,Finance Manager,Finance,Contract,83899.5,1006794.0,B,83899.5,Health Insurance,12000,1080000,1102693.5,3.02,1.58,2.96
E10025,Rania,Yuvraj ,Sahota,1973-04-17,Female,rania.sahota@gmail.com,9873512399,9632249451,"H.No. 68
Varughese Nagar, Srikakulam, Uttarakhand, 282983, India",Master's,Marketing,Brother,9855366820,2024-07-02,Brand Manager,Marketing,Intern,19376.68,232520.16,D,19376.68,Education Assistance,7000,240000,258896.84,1.32,3.23,4.26
E10026,Myra,Ishaan,De,1989-03-24,Female,myra.de@gmail.com,9659686350,9114413631,"55, Rattan Ganj, Shahjahanpur, Meghalaya, 901098, India",PhD,Computer Science,Mother,9506827455,2016-11-08,DevOps Engineer,Engineering,Full-time,95624.25,1147491.0,B,95624.25,"Free Meals, Retirement Plan, Gym Membership, Health Insurance, Stock Options, Education Assistance, Remote Work, Travel Allowance",57000,1200000,1300115.25,4.16,2.64,2.71
E10027,Baiju,Diya,Agarwal,1996-01-25,Female,baiju.agarwal@gmail.com,9436054613,9868835020,"H.No. 617, Gala, Aurangabad, Manipur, 630952, India",Master's,Engineering,Brother,9269331473,2022-02-04,Software Engineer,Engineering,Part-time,48737.01,584844.12,D,48737.01,"Remote Work, Travel Allowance, Paid Time Off",13000,600000,646581.13,1.47,4.01,2.13
E10028,Nakul,Jayesh,Ratta,1992-04-17,Female,nakul.ratta@gmail.com,9249145152,9006909746,"08/93, Garg Zila, Ghaziabad, Meghalaya, 232722, India",PhD,Marketing,Sister,9167960838,2022-08-09,SEO Specialist,Marketing,Part-time,32647.38,391768.56,D,32647.38,Paid Time Off,5000,480000,429415.94,4.11,2.79,3.2
E10029,Neysa,Madhav,Bir,1978-11-17,Female,neysa.bir@gmail.com,9231844214,9328125938,"H.No. 11
Dora Ganj, Alwar, Madhya Pradesh, 284234, India",Bachelor's,Computer Science,Father,9022004607,2017-11-17,System Architect,Engineering,Part-time,57102.93,685235.16,C,57102.93,"Travel Allowance, Remote Work",8000,720000,750338.0900000001,3.13,3.41,4.5
E10030,Madhav,Aayush,Wali,1977-10-05,Male,madhav.wali@gmail.com,9090901532,9277719328,"50/280, Manda Marg, Hajipur, Haryana, 491827, India",Master's,Sales,Aunty,9784537367,2018-11-13,Sales Executive,Sales,Full-time,59815.2,717782.3999999999,C,59815.2,Remote Work,2000,720000,779597.5999999999,4.63,4.15,2.59
E10031,Vaibhav,Indrajit,Chhabra,1980-04-29,Female,vaibhav.chhabra@gmail.com,9356966241,9547167115,"88/593, Ratta Path, Bikaner, Odisha, 229254, India",Master's,Computer Science,Aunty,9989489039,2024-03-27,DevOps Engineer,Engineering,Part-time,40707.57,488490.83999999997,D,40707.57,"Travel Allowance, Paid Time Off",11000,600000,540198.4099999999,1.77,1.81,4.6
E10032,Mamooty,Ela,Dada,1977-03-25,Female,mamooty.dada@gmail.com,9383242532,9841854170,"24/44
Manne Road, Mehsana, Jharkhand, 496042, India",Master's,Finance,Father,9026356352,2017-04-14,Financial Analyst,Finance,Part-time,37996.2,455954.39999999997,D,37996.2,"Remote Work, Travel Allowance, Paid Time Off",13000,480000,506950.6,2.39,3.46,4.57
